一	〔一一｜yiaa〕
饺	〔饣乂｜jnux〕
饻	〔饣𧘇｜xiuy〕
胤	〔ノフ｜ybpv〕
饼	〔饣开｜bkuk〕
峦	〔亠山｜lrwe〕
弯	〔亠弓｜wjwg〕
孪	〔亠子｜lrwz〕
娈	〔亠女｜lrwn〕
将	〔冫寸｜jldc〕
奖	〔冫大｜jldd〕
哀	〔亠𧘇｜aiwy〕
亭	〔亠丁｜tkwd〕
亮	〔亠几｜llwj〕
庤	〔广寸｜vigc〕
度	〔广又｜dogy・dugy〕
弈	〔亠廾｜yiwc〕
奕	〔亠大｜yiwd〕
迹	〔辶丶｜jizd〕
庭	〔广廴｜tkgz〕
庥	〔广木｜xqgm〕
疬	〔疒力｜libl〕
疣	〔疒尤｜yzby〕
疥	〔疒丨｜jpbl〕
疭	〔疒人｜zsbr〕
疮	〔疒フ｜ilbv〕
疯	〔疒乂｜fgbx〕
疫	〔疒又｜yiby〕
疢	〔疒火｜ifbh〕
疤	〔疒巴｜babb〕
庠	〔广羊｜xlgy〕
咨	〔冫口｜zidk〕
姿	〔冫女｜zidn〕
亲	〔立朩｜qklm・qblm〕
竑	〔立厶｜hsls〕
音	〔立日｜yblo〕
彦	〔产ノ｜yjip〕
飒	〔立乂｜salx〕
帝	〔亠巾｜diwj〕
施	〔方也｜uify〕
闺	〔门土｜gvmt〕
闻	〔门耳｜wfme〕
闼	〔门辶｜tamz〕
闽	〔门虫｜mbmi〕
闾	〔门口｜lvmk〕
闿	〔门己｜kdmj〕
阀	〔门戈｜famg〕
阁	〔门口｜gemk〕
阂	〔门人｜hemr〕
差	〔工｜ciyg・iayg・idyg〕
养	〔丨｜yhyl〕
美	〔大｜mwyd〕
羑	〔久｜yzyj〕
姜	〔女｜jlyn〕
迸	〔辶开｜bgzk〕
叛	〔半又｜pjby〕
送	〔辶天｜sszt〕
类	〔米大｜lwmd〕
籼	〔米山｜xmme〕
迷	〔辶米｜mizm〕
籽	〔米子｜zimz〕
娄	〔米女｜lzmn〕
前	〔丷刂｜qmbd〕
酋	〔丷酉yǒu｜qqby〕
首	〔丷自｜uzbz〕
逆	〔辶ノ｜nizp〕
兹	〔丷幺｜ciby・ziby〕
总	〔丷心｜zsbx〕
炳	〔火丙｜bkhb〕
炻	〔火石｜uihu〕
炼	〔火丶｜lmhd〕
炟	〔火一｜daha〕
炽	〔火八｜iihb〕
炯	〔火口｜jshk〕
炸	〔火乍｜vahv〕
烀	〔火乎｜huhh〕
烁	〔火乐｜uohl〕
炮	〔火巳sì｜bchs・pchs〕
炷	〔火主｜vuhv〕
炫	〔火幺｜xrhy〕
烂	〔火三｜ljhs〕
烃	〔火工｜tkhg〕
剃	〔丷刂｜tibd〕
洼	〔氵土｜wadt〕
洁	〔氵口｜jpdk〕
洱	〔氵耳｜erde〕
洪	〔氵八｜hsdb〕
洹	〔氵一｜hrda〕
洒	〔氵西｜sadx〕
洧	〔氵月｜wwdo〕
洌	〔氵刂｜lpdd〕
浃	〔氵夹｜jxdj〕
柒	〔氵木｜qidm〕
浇	〔氵兀｜jndw〕
泚	〔氵匕｜cidb〕
浈	〔氵人｜vfdr〕
浉	〔氵巾｜uidj〕
浊	〔氵虫｜vodi〕
洞	〔氵口｜dsdk〕
洇	〔氵大｜ybdd〕
洄	〔氵口｜hvdk〕
测	〔氵刂｜cedd〕
洙	〔氵朱｜vudv〕
洗	〔氵儿｜xide〕
活	〔氵口｜hodk〕
洑	〔氵犬｜fudq〕
涎	〔氵廴｜xmdz〕
洎	〔氵自｜jidz〕
洫	〔氵血｜xudx〕
派	〔氵ㄟ｜pddn〕
浍	〔氵厶｜kkds・hvds〕
洽	〔氵口｜qxdk〕
洮	〔氵丶｜tcdd〕
染	〔氵木｜rjdm〕
洵	〔氵日｜xydo〕
洚	〔氵丨｜jldl〕
洺	〔氵口｜mkdk〕
洛	〔氵口｜lodk〕
浏	〔氵刂｜lqdd〕
济	〔氵丨｜jidl〕
洨	〔氵乂｜xndx〕
浐	〔氵产｜ijdi〕
洋	〔氵羊｜yhdy〕
洴	〔氵开｜pkdk〕
洣	〔氵米｜midm〕
洲	〔氵州｜vzdl・vzdv〕
浑	〔氵车｜hydi〕
浒	〔氵午｜hudw・xudw〕
浓	〔氵农｜nsdn〕
津	〔氵聿yù｜jbdy〕
浔	〔氵寸｜xydc〕
浕	〔氵丶｜jbdd〕
洳	〔氵口｜rudk〕
恸	〔忄力｜tsxl〕
恃	〔忄寸｜uixc〕
恒	〔忄一｜hgxa〕
恹	〔忄犬｜yjxq〕
恢	〔忄火｜hvxh〕
恍	〔忄兀｜hlxw〕
恫	〔忄口｜dsxk〕
恺	〔忄己｜kdxj〕
恻	〔忄刂｜cexd〕
恬	〔忄口｜tmxk〕
恤	〔忄血｜xuxx〕
恰	〔忄口｜qxxk〕
恂	〔忄日｜xyxo〕
恪	〔忄口｜kexk〕
恼	〔忄凵｜ncxk〕
恽	〔忄车｜yyxi〕
恨	〔忄艮｜hfxg〕
举	〔⺍丨｜juxl〕
觉	〔⺍见下｜jnxe・jtxe〕
宣	〔宀一｜xrba〕
宦	〔宀臣｜hrbi〕
宥	〔宀月｜yzbo〕
宬	〔宀成｜igbi〕
室	〔宀土｜uibt〕
宫	〔宀口｜gsbk〕
宪	〔宀儿｜xmbe〕
突	〔宀犬｜tubq〕
穿	〔宀牙｜irby〕
窀	〔宀屯｜vybt〕
窃	〔宀刀｜qpbd〕
客	〔宀口｜kebk〕
诫	〔讠廾｜jpyc〕
冠	〔冖寸｜grbc〕
诬	〔讠人｜wuyr〕
语	〔讠口｜yuyk〕
扁	〔户艹｜bmhc・pmhc〕
扃	〔户口｜jshk〕
袆	〔衤韦｜hvpw〕
衲	〔衤内｜napn〕
衽	〔衤壬｜rfpr〕
袄	〔衤夭｜aopy〕
衿	〔衤フ｜jbpv〕
袂	〔衤夬guài｜mwpg〕
祛	〔礻厶｜qups〕
祜	〔礻口｜hupk〕
祓	〔礻丶｜fupd〕
祖	〔礻且｜zupq〕
神	〔礻申｜ufpu〕
祝	〔礻儿｜vupe〕
祚	〔礻乍｜zopv〕
诮	〔讠月｜qnyo〕
祗	〔礻氐｜vipd〕
祢	〔礻小｜mipx〕
祠	〔礻口｜cipk〕
误	〔讠天｜wuyt〕
诰	〔讠口｜gcyk〕
诱	〔讠乃｜yzyn〕
诲	〔讠母｜hvym〕
诳	〔讠王｜klyw〕
鸩	〔丶鸟｜vfdn〕
说	〔讠儿｜uoye・uvye・ytye〕
昶	〔永日｜ihyo〕
诵	〔讠用｜ssyy〕
郡	〔尹阝｜jyye〕
垦	〔艮土｜kfgt〕
退	〔辶艮｜tvzg〕
既	〔即左フ｜jigv〕
屋	〔尸土｜wuut〕
昼	〔尺一｜vzia〕
咫	〔尺八｜viib〕
屏	〔尸开｜bkuk・pkuk〕
屎	〔尸米｜uium〕
弭	〔弓耳｜mige〕
费	〔弗人｜fwfr〕
陡	〔阝人｜dzer〕
逊	〔辶小｜xyzx〕
牁	〔爿pán口｜kepk〕
眉	〔フ目｜mwvo〕
胥	〔フ月｜xuvo〕
孩	〔子人｜hdzr〕
陛	〔阝土｜biet〕
陟	〔阝ノ｜viep〕
陧	〔阝土｜npet〕
陨	〔阝人｜yyer〕
除	〔阝余下｜iueh〕
险	〔阝一｜xmea〕
院	〔阝儿｜yree〕
娃	〔女土｜want〕
姞	〔女口｜jink〕
姥	〔女匕｜lcnb・munb〕
娅	〔女亚｜yany〕
姨	〔女夷｜yiny〕
娆	〔女兀｜rcnw〕
姻	〔女大｜ybnd〕
姝	〔女朱｜uunv〕
娇	〔女丨｜jnnl〕
姚	〔女丶｜ycnd〕
姽	〔女フ｜gvnv〕
姣	〔女乂｜jnnx・xnnx〕
姘	〔女开｜pbnk〕
姹	〔女七｜ianq〕
娜	〔女阝｜nane・none〕
怒	〔女心｜nunx〕
架	〔力木｜jxlm〕
贺	〔力人｜helr〕
盈	〔乃皿｜yknm〕
怼	〔又心｜dvyx〕
羿	〔习廾｜yixc〕
勇	〔力｜yssl〕
炱	〔厶火｜tdsh〕
怠	〔厶心｜ddsx〕
癸	〔フ天｜gvvt〕
蚤	〔叉虫｜zcii〕
柔	〔木｜rzsm〕
矜	〔フ｜grsv・jbsv・qbsv〕
垒	〔厶土｜lwst〕
绑	〔纟阝｜bhse〕
绒	〔纟｜rssu〕
结	〔纟口｜jpsk〕
绔	〔纟亏｜kusk〕
骁	〔马兀｜xnmw〕
绕	〔纟兀｜rcsw〕
骄	〔马丨｜jnml〕
骅	〔马十｜hxmu〕
绗	〔纟亍chù｜hhsi〕
绘	〔纟厶｜hvss〕
给	〔纟口｜gwsk・jisk〕
绚	〔纟日｜xrso〕
彖	〔フ豕shǐ｜trvu〕
绛	〔纟丨｜jlsl〕
络	〔纟口｜lcsk・losk〕
骆	〔马口｜lomk〕
绝	〔纟巴｜jtsb〕
绞	〔纟乂｜jnsx〕
骇	〔马人｜hdmr〕
统	〔纟儿｜tsse〕
骈	〔马开｜pmmk〕
耕	〔耒lěi井｜gglj〕
耘	〔耒lěi厶｜yyls〕
耖	〔耒lěi少｜iclu〕
耗	〔耒lěi毛｜hclm〕
耙	〔耒lěi巴｜palb・balb〕
艳	〔丰巴｜yjfb〕
挈	〔丰手｜qpfu〕
恝	〔丰心｜jxfx〕
泰	〔寿上氺｜tdfu〕
秦	〔寿上禾｜qbfh〕
珥	〔王耳｜erwe〕
珙	〔王八｜gswb〕
顼	〔王人｜xuwr〕
珰	〔王彐｜dhwe〕
珠	〔王朱｜vuwv〕
珽	〔王廴｜tkwz〕
珩	〔王亍chù｜hgwi・hhwi〕
珧	〔王丶｜ycwd〕
珣	〔王日｜xywo〕
珞	〔王口｜lowk〕
琤	〔王丨｜igwl〕
班	〔王王｜bjww〕
珲	〔王车｜hvwi・hywi〕
敖	〔攵｜aofw〕
素	〔小｜sufx〕
匿	〔匚口｜nikk〕
蚕	〔天虫｜cjti〕
顽	〔二人｜wjer〕
盏	〔戋jiān皿｜vjjm〕
匪	〔匚非｜fwkf〕
恚	〔土心｜hvtx〕
捞	〔扌力｜lcfl〕
栽	〔十木｜zdum〕
捕	〔扌甫｜buff〕
埔	〔土甫｜butf・putf〕
埂	〔土更｜ggtg〕
捂	〔扌口｜wufk〕
振	〔扌ㄟ｜vffn〕
载	〔十车｜zdui〕
赶	〔土干｜gjtg〕
起	〔土己｜qitj〕
盐	〔土皿｜yjtm〕
捎	〔扌月｜ucfo〕
捍	〔扌干｜hjfg〕
埕	〔土王｜igtw〕
捏	〔扌土｜npft〕
埘	〔土寸｜uitc〕
埋	〔土里｜mdtl・mjtl〕
捉	〔扌人｜vofr〕
捆	〔扌木｜kyfm〕
捐	〔扌月｜jrfo〕
埚	〔土内｜gotn〕
埙	〔土人｜xytr〕
损	〔扌人｜syfr〕
袁	〔土𧘇｜yrty〕
挹	〔扌巴｜yifb〕
捌	〔扌刂｜bafd〕
都	〔耂阝｜dule・dzle〕
哲	〔扌口｜vefk〕
逝	〔辶斤｜uizj〕
耆	〔耂日｜qilo〕
耄	〔耂毛｜mclm〕
捡	〔扌一｜jmfa〕
挫	〔扌土｜coft〕
捋	〔扌寸｜lofc・lvfc〕
埒	〔土寸｜lptc〕
换	〔扌大｜hrfd〕
挽	〔扌フ｜wjfv〕
贽	〔扌人｜vifr〕
挚	〔扌手｜vifu〕
热	〔扌灬｜refh〕
恐	〔工心｜ksgx〕
捣	〔扌山｜dcfe〕
垸	〔土儿｜yrte・hrte〕
壶	〔士业｜huuy〕
捃	〔扌口｜jyfk〕
捅	〔扌用｜tsfy〕
盍	〔土皿｜hetm〕
埃	〔土矢｜aitu〕
挨	〔扌矢｜aifu〕
耻	〔耳止｜iiev〕
耿	〔耳火｜ggeh〕
耽	〔耳フ｜djev〕
聂	〔耳又｜npey〕
莰	〔艹人｜kjcr〕
茝	〔艹丨｜idcl〕
荸	〔艹子｜bicz〕
莆	〔艹甫｜pucf〕
恭	〔艹｜gscx〕
莽	〔艹廾｜mhcc〕
莱	〔艹来｜ldcl〕
莲	〔艹辶｜lmcz〕
莳	〔艹寸｜uicc〕
莫	〔艹大｜mocd〕
莴	〔艹内｜wocn〕
莪	〔艹我｜eecw〕
莉	〔艹刂｜licd〕
莠	〔艹乃｜yzcn〕
莓	〔艹母｜mwcm〕
荷	〔艹口｜heck〕
莜	〔艹攵｜yzcw〕
莅	〔艹立｜licl〕
荼	〔艹余下｜tuch〕
莶	〔艹一｜lmca・xmca〕
莩	〔艹子｜fucz〕
荽	〔艹女｜svcn〕
获	〔艹犬｜hocq〕
莸	〔艹尤｜yzcy〕
荻	〔艹火｜dich〕
莘	〔艹十｜ufcu・xbcu〕
晋	〔亚日｜jbyo〕
恶	〔亚心｜eeyx・wuyx〕
莎	〔艹少｜socu・uacu〕
莞	〔艹儿｜wjce・grce〕
莹	〔艹玉｜ykcy〕
莺	〔艹鸟｜ykcn〕
真	〔十八｜vfub〕
莙	〔艹口｜jyck〕
鸪	〔十鸟｜guun〕
莼	〔艹屯｜iyct〕
框	〔木王｜klmw〕
梆	〔木阝｜bhme〕
桂	〔木土｜gvmt〕
桔	〔木口｜jpmk・jumk〕
栲	〔木フ｜kcmv〕
栳	〔木匕｜lcmb〕
郴	〔木阝｜ifme〕
桓	〔木一｜hrma〕
栖	〔木西｜qimx・ximx〕
桡	〔木兀｜ncmw・rcmw〕
桎	〔木土｜vimt〕
桢	〔木人｜vfmr〕
桄	〔木兀｜glmw〕
档	〔木彐｜dhme〕
桐	〔木口｜tsmk〕
桤	〔木己｜qimj〕
株	〔木朱｜vumv〕
梃	〔木廴｜tkmz〕
栝	〔木口｜komk・tmmk・gxmk〕
桥	〔木丨｜qnml〕
桕	〔木臼｜jqmj〕
桦	〔木十｜hxmu〕
桁	〔木亍chù｜hgmi・hhmi〕
栓	〔木王｜urmw〕
桧	〔木厶｜gvms・hvms〕
桃	〔木丶｜tcmd〕
桅	〔木フ｜wwmv〕
栒	〔木日｜xymo〕
格	〔木口｜gemk〕
桩	〔木土｜vlmt〕
校	〔木乂｜jnmx・xnmx〕
核	〔木人｜humr・hemr〕
样	〔木羊｜yhmy〕
栟	〔木开｜bfmk〕
桉	〔木女｜anmn〕
根	〔木艮｜gfmg〕
栩	〔木习｜xumx〕
逑	〔辶求｜qqzq〕
索	〔十小｜soux〕
逋	〔辶甫｜buzf〕
彧	〔一丶｜yuad〕
哥	〔丁口｜geak・gedk〕
速	〔辶束｜suzu〕
鬲	〔一丨｜geal〕
豇	〔一工｜jlag〕
逗	〔辶一｜dzza〕
栗	〔西木｜lixm〕
贾	〔西人｜jxxr・guxr〕
酐	〔酉yǒu干｜gjyg〕
酎	〔酉yǒu寸｜vzyc〕
酌	〔酉yǒu勺｜voyu〕
配	〔酉yǒu己｜pwyj〕
酏	〔酉yǒu也｜yiyy〕
逦	〔辶丽｜lizl〕
翅	〔十习｜iiux〕
辱	〔厂寸｜ruic〕
唇	〔厂口｜iyik〕
厝	〔厂日｜coio〕
孬	〔不子｜ncbz〕
夏	〔一夂｜xxaw〕
砝	〔石厶｜faus〕
砹	〔石乂｜aiux〕
砸	〔石巾｜zauj〕
砺	〔石万｜liuw〕
砰	〔石平｜pgup〕
砧	〔石口｜vfuk〕
砷	〔石申｜ufuu〕
砟	〔石乍｜vauv〕
砼	〔石工｜tsug〕
砥	〔石氐｜diud〕
砾	〔石乐｜liul〕
砣	〔石匕｜toub〕
础	〔石出｜iuui〕
破	〔石又｜pouy〕
硁	〔石工｜kgug〕
恧	〔而心｜nvex〕
原	〔厂小｜yrix〕
套	〔大厶｜tcds〕
剞	〔大刂｜jidd〕
逐	〔辶豕shǐ｜vuzu〕
砻	〔龙石｜lslu〕
烈	〔歹灬｜lpdh〕
殊	〔歹朱｜uudv〕
殉	〔歹日｜xydo〕
顾	〔厂人｜guir〕
轼	〔车工｜uiig〕
轾	〔车土｜viit〕
轿	〔车丨｜jnil〕
辀	〔车舟｜vziv〕
辁	〔车王｜qriw〕
辂	〔车口｜luik〕
较	〔车乂｜jnix〕
鸫	〔东鸟｜dsdn〕
顿	〔屯人｜dytr〕
趸	〔万人｜dywr〕
毙	〔比左匕｜bibb〕
致	〔一攵｜viaw〕
剕	〔非刂｜fwfd〕
龀	〔止匕｜ifvb〕
柴	〔止木｜idvm〕
桌	〔丨木｜volm〕
鸬	〔丨鸟｜luln〕
虔	〔虍文｜qmhw〕
虑	〔虍心｜lvhx〕
监	〔丨皿｜jmlm〕
紧	〔丨小｜jblx〕
逍	〔辶月｜xnzo〕
党	〔儿｜dhxe〕
眬	〔目龙｜lsol〕
唛	〔口夂｜makw・mdkw〕
逞	〔辶王｜igzw〕
晒	〔日西｜udox〕
晟	〔日成｜igoi・ugoi〕
眩	〔目幺｜xroy〕
眠	〔目民｜mmom〕
晓	〔日兀｜xnow〕
眙	〔目口｜iiok・yiok〕
唝	〔口人｜hskr・gskr〕
哧	〔口丶｜iikd〕
哳	〔口斤｜vakj〕
哮	〔口子｜xnkz〕
唠	〔口力｜lckl〕
鸭	〔甲鸟｜yajn〕
晃	〔日兀｜hlow〕
哺	〔口甫｜bukf〕
哽	〔口更｜ggkg〕
唔	〔口口｜wukk〕
晔	〔日十｜yeou〕
晌	〔日口｜uhok〕
晁	〔日丶｜icod〕
剔	〔日刂｜tiod〕
晏	〔日女｜yjon〕
晖	〔日车｜hvoi〕
晕	〔日车｜yyoi〕
鸮	〔口鸟｜xnkn〕
趵	〔勺｜bczu〕
趿	〔及｜tazj〕
畛	〔田ノ｜vftp〕
蚌	〔虫丰｜bgif・bhif〕
蚨	〔虫夫｜fuif〕
蚜	〔虫牙｜yaiy〕
蚍	〔虫匕｜piib〕
蚋	〔虫内｜rvin〕
蚬	〔虫见下｜xmie〕
畔	〔田半｜pjtb〕
蚝	〔虫毛｜hcim〕
蚧	〔虫丨｜jpil〕
蚣	〔虫厶｜gsis・vsis〕
蚊	〔虫文｜wfiw〕
蝌	〔虫十｜keiu〕
蚓	〔虫丨｜ybil〕
哨	〔口月｜ucko〕
唢	〔口人｜sokr〕
哩	〔口里｜likl〕
圃	〔囗甫｜pukf〕
哭	〔口犬｜kukq〕
圄	〔囗口｜yukk〕
哦	〔口我｜eekw・ookw〕
唣	〔口七｜zckq〕
唏	〔口巾｜xikj〕
恩	〔囗心｜enkx〕
盎	〔央皿｜ahym〕
唑	〔口土｜zokt〕
鸯	〔央鸟｜yhyn〕
唤	〔口大｜hrkd〕
唁	〔口口｜yjkk〕
哼	〔口了｜hgkl〕
唧	〔口卩｜jike〕
啊	〔口口｜aakk〕
唉	〔口矢｜aiku〕
唆	〔口夂｜sokw〕
帱	〔巾寸｜dcjc・izjc〕
崂	〔山力｜lcel〕
崃	〔山来｜ldel〕
罡	〔罒正｜ghsv〕
罢	〔罒厶｜bass・piss〕
罟	〔罒口｜gusk〕
峭	〔山月｜qneo〕
峨	〔山我｜eeew〕
峪	〔山口｜yuek〕
峰	〔山丰｜fgef〕
圆	〔囗人｜yrkr〕
觊	〔山见下｜jiee〕
峻	〔山夂｜jyew〕
贼	〔冂｜zwku〕
贿	〔冂月｜hvko〕
赂	〔冂口｜lukk〕
赃	〔冂土｜zhkt〕
赅	〔冂人｜gdkr〕
赆	〔冂丶｜jbkd〕
钰	〔钅玉｜yujy〕
钱	〔钅戋jiān｜qmjj〕
钲	〔钅正｜vgjv〕
钳	〔钅甘｜qmjg〕
钴	〔钅口｜gujk〕
钵	〔钅本｜bojb〕
钷	〔钅口｜pojk〕
钹	〔钅丶｜bojd〕
钺	〔钅フ｜ytjv〕
钻	〔钅口｜zrjk〕
钼	〔钅目｜mujo〕
钽	〔钅一｜tjja〕
钾	〔钅甲｜jxjj〕
钿	〔钅田｜dmjt・tmjt〕
铀	〔钅由｜yzjy〕
铁	〔钅失｜tpju〕
铂	〔钅白｜bojb〕
铃	〔钅｜lkjs〕
铄	〔钅乐｜uojl〕
铅	〔钅口｜qmjk〕
铆	〔钅卩｜mcje〕
铈	〔钅巾｜uijj〕
铉	〔钅幺｜xrjy〕
铊	〔钅匕｜tojb・tajb〕
铋	〔钅必｜bijb〕
铌	〔钅匕｜nijb〕
铍	〔钅又｜pijy〕
铎	〔钅丨｜dojl〕
眚	〔生目｜uguo〕
缺	〔缶fǒu夬guài｜qtfg〕
氩	〔气亚｜yaqy〕
氤	〔气大｜ybqd〕
氦	〔气人｜hdqr〕
氧	〔气羊｜yhqy〕
氨	〔气女｜anqn〕
毪	〔毛牛｜mumn〕
特	〔牛寸｜tenc〕
牺	〔牛西｜xinx〕
造	〔辶口｜zczk〕
乘	〔千ㄟ｜igqn・ugqn〕
敌	〔千攵｜diqw〕
舐	〔千氏｜uiqu〕
秣	〔禾末｜mohm〕
秫	〔禾术｜uuhu〕
秤	〔禾平｜ighp〕
租	〔禾且｜zuhq〕
秧	〔禾央｜yhhy〕
积	〔禾八｜jihb〕
盉	〔禾皿｜hehm〕
秩	〔禾失｜vihu〕
称	〔禾小｜ifhx・ighx〕
秘	〔禾必｜bihb・mihb〕
透	〔辶乃｜tzzn〕
笄	〔开｜jivk〕
笕	〔见下｜jmve〕
笔	〔毛｜bivm〕
笑	〔夭｜xnvy〕
笊	〔爪｜vcvv〕
笫	〔ノ｜zivp〕
笏	〔勿｜huvw〕
笋	〔尹｜syvy〕
笆	〔巴｜bavb〕
俸	〔亻丨｜fgrl〕
倩	〔亻月｜qkro・qmro〕
债	〔亻人｜vdrr〕
俵	〔亻𧘇｜bnry〕
倻	〔亻阝｜yere〕
借	〔亻日｜jpro〕
偌	〔亻口｜rork〕
值	〔亻具上｜virq〕
倚	〔亻口｜yirk〕
俺	〔亻电｜anrd〕
倾	〔亻人｜qkrr〕
倒	〔亻刂｜dcrd〕
俳	〔亻非｜pdrf〕
俶	〔亻又｜iury・tiry〕
倬	〔亻十｜voru〕
倏	〔亻犬｜uurq〕
倘	〔亻口｜thrk〕
俱	〔亻八｜jurb〕
倡	〔亻日｜ihro〕
候	〔亻矢｜hzru〕
赁	〔亻人｜lbrr〕
恁	〔亻心｜nfrx〕
倭	〔亻女｜worn〕
倪	〔亻儿｜nire〕
俾	〔亻十｜biru〕
倜	〔亻口｜tirk〕
隼	〔亻十｜syru〕
隽	〔亻乃｜jrrn・jyrn〕
倞	〔亻小｜jkrx・llrx〕
俯	〔亻寸｜furc〕
倍	〔亻口｜bwrk〕
倦	〔亻フ｜jrrv〕
倓	〔亻火｜tjrh〕
倌	〔亻㠯｜grrk〕
倥	〔亻工｜ksrg〕
臬	〔自木｜npzm〕
健	〔亻廴｜jmrz〕
臭	〔自犬｜izzq・xqzq〕
射	〔身寸｜ueuc・yeuc・yiuc〕
皋	〔白十｜gcbu〕
躬	〔身弓｜gsug〕
息	〔自心｜xizx〕
郫	〔ノ阝｜pipe〕
倨	〔亻口｜jurk〕
倔	〔亻出｜jtri〕
衄	〔血丑｜nvxi〕
颀	〔斤人｜qijr〕
徒	〔彳chì人｜tuir〕
徕	〔彳chì来｜ldil〕
徐	〔彳chì余下｜xuih〕
殷	〔ノ又｜ybpy・yjpy〕
舰	〔舟见下｜jmve〕
舱	〔舟フ｜chvv〕
般	〔舟又｜bjvy〕
航	〔舟几｜hhvj〕
舫	〔舟方｜fhvf〕
瓞	〔瓜失｜dpgu〕
途	〔辶余下｜tuzh〕
拿	〔人手｜naru〕
釜	〔八一｜fuba〕
耸	〔人耳｜ssre〕
爹	〔八夕｜dpbx〕
舀	〔ノ臼｜ycpj〕
爱	〔ノ又｜aipy〕
豺	〔豸zhì才｜idvc〕
豹	〔豸zhì勺｜bcvu〕
奚	〔ノ大｜xipd〕
鬯	〔乂匕｜ihxb〕
衾	〔人𧘇｜qbry〕
鸰	〔人鸟｜lkrn〕
颁	〔八人｜bjbr〕
颂	〔八人｜ssbr〕
翁	〔八习｜wgbx〕
胯	〔月亏｜kxok〕
胰	〔月夷｜yioy〕
胱	〔月兀｜glow〕
胴	〔月口｜dsok〕
胭	〔月大｜yjod〕
脍	〔月厶｜kkos〕
脎	〔月朩｜saom〕
脆	〔月フ｜cvov〕
脂	〔月日｜vioo〕
胸	〔月凵｜xsok〕
胳	〔月口｜gaok・geok〕
脏	〔月土｜zhot〕
脐	〔月丨｜qiol〕
胶	〔月乂｜jnox〕
脑	〔月凵｜ncok〕
胲	〔月人｜hdor〕
胼	〔月开｜pmok〕
朕	〔月天｜vfot〕
脒	〔月米｜miom〕
胺	〔月女｜anon〕
脓	〔月农｜nson〕
鸱	〔氐鸟｜iidn〕
玺	〔玉｜xidy〕
鱽	〔鱼刀｜dcad〕
鸲	〔勹鸟｜qubn〕
逛	〔辶王｜glzw〕
狴	〔犭土｜biqt〕
狸	〔犭里｜liql〕
狷	〔犭月｜jrqo〕
猁	〔犭刂｜liqd〕
狳	〔犭余下｜yuqh〕
猃	〔犭一｜xmqa〕
狺	〔犭口｜ybqk〕
逖	〔辶火｜tizh〕
狼	〔犭良｜lhql〕
卿	〔ノ卩｜qkpe〕
狻	〔犭夂｜srqw〕
逢	〔辶丰｜fgzf〕
桀	〔夕木｜jpxm〕
鸵	〔鸟匕｜tonb〕
留	〔ノ田｜lqpt〕
袅	〔ノ𧘇｜nnpy〕
眢	〔夕目｜yrxo〕
鸳	〔夕鸟｜yrxn〕
皱	〔又｜vzdy〕
饽	〔饣子｜bouz〕
饿	〔饣我｜eeuw〕
馁	〔饣女｜nwun〕
凌	〔冫夂｜lkdw〕
凇	〔冫厶｜ssds〕
凄	〔冫女｜qidn〕
栾	〔亠木｜lrwm〕
挛	〔亠手｜lrwu〕
恋	〔亠心｜lmwx〕
桨	〔冫木｜jldm〕
浆	〔冫水｜jldu〕
衰	〔亠𧘇｜cvwy・ukwy〕
勍	〔亠力｜qkwl〕
衷	〔亠𧘇｜vswy〕
高	〔亠口｜gcwk〕
亳	〔亠七｜bowq〕
郭	〔亠阝｜gowe〕
席	〔广巾｜xigj〕
准	〔冫｜vydf〕
座	〔广土｜zogt〕
症	〔疒正｜vgbv〕
疳	〔疒甘｜gjbg〕
疴	〔疒口｜kebk〕
病	〔疒丙｜bkbb〕
疽	〔疒且｜jubq〕
疸	〔疒一｜djba〕
疾	〔疒矢｜jibu〕
痄	〔疒乍｜vabv〕
斋	〔文而｜vdwe〕
疹	〔疒ノ｜vfbp〕
痈	〔疒用｜ysby〕
疼	〔疒丶｜tgbd〕
疱	〔疒巳sì｜pcbs〕
疰	〔疒主｜vubv〕
痃	〔疒幺｜xrby〕
痂	〔疒口｜jxbk〕
疲	〔疒又｜piby〕
痉	〔疒工｜jkbg〕
脊	〔冫月｜jido〕
效	〔亠攵｜xnww〕
离	〔亠丶｜liwd〕
衮	〔亠𧘇｜gywy〕
紊	〔文小｜wfwx〕
唐	〔广口｜thgk〕
凋	〔冫口｜dndk〕
颃	〔亠人｜hhwr〕
瓷	〔冫瓦｜cidw〕
资	〔冫人｜zidr〕
恣	〔冫心｜zidx〕
凉	〔冫小｜lldx〕
站	〔立口｜vjlk〕
剖	〔立刂｜pzld〕
竞	〔立儿｜jkle〕
部	〔立阝｜bule〕
旁	〔亠方｜phwf〕
旆	〔方丨｜pwfl〕
旄	〔方毛｜mcfm〕
旅	〔方ㄟ｜lvfn〕
旃	〔方丹｜vjfd〕
畜	〔亠田｜iuwt・xuwt〕
阃	〔门木｜kymm〕
阄	〔门フ｜jqmv〕
阅	〔门儿｜ytme〕
阆	〔门良｜lhml〕
羞	〔丑｜xqyi〕
羔	〔灬｜gcyh〕
恙	〔心｜yhyx〕
瓶	〔丷瓦｜pkbw〕
桊	〔木｜jrjm〕
拳	〔手｜qrju〕
敉	〔米攵｜mimw〕
粉	〔米刀｜ffmd〕
料	〔米十｜lnmu〕
粑	〔米巴｜bamb〕
